word,length,fre,pmi,entropy
段誉,2,0.003359637238696262,5.174007217271763,4.988650107237381
乔峰,2,0.0011132525761360394,5.500458380205211,4.986869287978669
萧峰,2,0.0017841860483608846,5.610417859922811,4.966063070714878
自己,2,0.0016201800884837003,5.425102082904431,4.902804758870512
慕容复,3,0.0009174393997978254,6.110584477098443,4.893578802926012
当即,2,0.0003260239687255544,4.663443724594087,4.886577163842924
当下,2,0.00037870467098913486,3.0522837220178074,4.873673162027299
丁春秋,3,0.00043039139773830813,7.306686620377081,4.839645295593363
段正淳,3,0.0007365358561757189,5.1989205316948555,4.838872406695028
虽然,2,0.00031906614012470417,4.433938317746246,4.826261144086194
之后,2,0.0003985841812772784,3.0145019087453626,4.825581407145728
咱们,2,0.0008090960687274429,5.868905312180555,4.810975556935358
便即,2,0.00026439748683230937,3.8784727425494068,4.794937000152675
今日,2,0.00039262032819083534,6.023924009430267,4.76431731145346
虚竹,2,0.001624155990541329,6.097584321190238,4.75479271074491
倘若,2,0.0005049395613188465,6.564274338146782,4.725973125085798
阿紫,2,0.0011261742578233327,5.879105089765201,4.675331274700569
他们,2,0.0005953913331298997,3.197536919123414,4.666858163019404
如此,2,0.0006878310559697672,4.505870179979108,4.661023356167133
如何,2,0.0007663551216079343,4.985233628262068,4.65871515492117
鸠摩智,3,0.0005615961656400556,7.116757236250037,4.646498675984783
游坦之,3,0.0005109034144052895,4.814750772174215,4.64050650278253
钟灵,2,0.0004313853732527153,6.185214716486234,4.637540251851717
王语嫣,3,0.000853824966875766,6.091714060500074,4.600619158260131
一般,2,0.00037969864650354204,3.0989246774820627,4.596288017612025
登时,2,0.0003936143037052425,5.4615923474899555,4.5920702111179335
木婉清,3,0.0007335539296324975,6.428905743264802,4.5802419420056415
段延庆,3,0.0002962047032933391,5.0027830374772835,4.576141423514107
甚是,2,0.00028725892366367444,3.0223814121902177,4.553004463870462
众人,2,0.0005218371450637685,3.426290805735107,4.545770101250069
此刻,2,0.00023656617242890838,4.7977105515535055,4.525927846770648
跟着,2,0.0004124998384789789,4.469252216186221,4.523702559430795
同时,2,0.00019581317633821408,3.7431692839613615,4.515617466661365
童姥,2,0.0005794877248993848,6.938584641467761,4.513507221700029
突然间,3,0.0001997890783958428,5.261414960325924,4.505821931176376
仍是,2,0.0002355721969145012,3.4715960769586247,4.486754326545531
脸上,2,0.0004612046386849306,4.072574716962789,4.463388677481164
叫道,2,0.0007037346642002821,3.0047216897466216,4.457927999303117
早已,2,0.0001630119843627772,4.712266975514895,4.44524794372746
只听得,3,0.00026042158477468066,4.189302079488343,4.441112325223215
除了,2,0.00014810235164666955,3.390014801778623,4.433521664712078
武功,2,0.0010655417514444949,5.401681676918304,4.422170275903457
旁人,2,0.00020078305391024997,3.0721921321968275,4.417193487744762
当年,2,0.00017394571502125615,3.724045235606045,4.40488150204419
本来,2,0.00026936736440434525,3.143071094502376,4.3806907313370695
保定帝,3,0.000334969748355219,7.3098079343416975,4.366274580896633
对方,2,0.0002504818296306089,4.700842411961746,4.3640414497201645
只见,2,0.000591415431072271,3.372785465450934,4.36207508624601
立即,2,0.00014710837613226237,5.232674433442025,4.347158164935654
乃是,2,0.00015704813127633414,3.589657547811016,4.346930729640167
阿朱,2,0.000982047808234292,5.638225426663431,4.343934494640312
说话,2,0.000407529960906943,3.5413383866144468,4.341660502560315
之极,2,0.0002962047032933391,3.4851695600146924,4.332939574182393
云鹤,2,0.00021569268662635765,7.579563130117163,4.331029264242895
敌人,2,0.00021966858868398636,3.242574387226062,4.303410162822517
叶二娘,3,0.0002097288335399146,6.617403971950486,4.295519602896579
乌老大,3,0.0003001806053509678,4.712157125249542,4.291466524040341
眼见,2,0.0003309938462975903,3.66065153943762,4.288148065587606
似乎,2,0.0002584336337458663,6.958473548840533,4.285099789853909
各人,2,0.0001987951028814356,3.1750372954890036,4.2773934974898
风波恶,3,0.00019780112736702844,7.010474927549153,4.275351767403158
走到,2,0.00019680715185262126,3.149494866198212,4.265495363329885
终于,2,0.00013418669444496904,5.299192705695623,4.259628173388044
不禁,2,0.0002226505152272079,3.5942227943501326,4.256764157463346
钟万仇,3,0.00021072280905432177,6.967676544826971,4.251029974406653
只怕,2,0.0002852709726348601,4.30319390173538,4.234807046775824
适才,2,0.00019680715185262126,6.649055044449719,4.232737013861269
李秋水,3,0.00018686739670854949,7.159698523441114,4.230382682322654
少林寺,3,0.0003806926220179492,6.222467074274169,4.22858629755147
因此,2,0.0001500903026754839,4.806052205125669,4.224772978291063
何况,2,0.00014909632716107672,6.260806354421438,4.216874504496083
须得,2,0.0001272288658441188,3.5798093530355826,4.211530151594067
这般,2,0.000301174580865375,3.503587438828288,4.2110391854302165
居然,2,0.00025147580514501606,4.89111503010752,4.202792107614073
不敢,2,0.0005715359207841274,3.6251970906845448,4.192387762751507
全冠清,3,0.0001590360823051485,6.428905743264802,4.1907404845009095
只须,2,0.0001133132086424183,3.8483040127797037,4.1824261021447136
马夫人,3,0.0002952107277789319,4.380636293623274,4.176441695125049
这些,2,0.0004453010304544158,3.712326308939949,4.173910199921028
白世镜,3,0.00012623489032971162,6.74635027703354,4.171602092901427
慢慢,2,0.00017394571502125615,6.601614258960195,4.164257978132415
王夫人,3,0.00023656617242890838,4.363206871656905,4.14940828925071
听到,2,0.0003260239687255544,3.0034833892968504,4.144974336856939
无法,2,0.00023457822140009402,3.8091353042581098,4.143843974309662
并非,2,9.840357592631063e-05,5.0847135377878505,4.134601002523076
忽然,2,0.00019183727428058537,4.311094482729623,4.1325013400825945
